,State,County,Year,MME,Population,fips,_merge,Prescription Rate Per Capita
106,WA,Garfield,2013,993376.635,2239,53023.0,both,443.66977891916036
107,WA,Garfield,2014,1075578.6075,2202,53023.0,both,488.45531675749316
108,WA,Grant,2006,38142715.6073625,81390,53025.0,both,468.64130246175824
109,WA,Grant,2007,41822717.407725,83111,53025.0,both,503.21518701164706
110,WA,Grant,2008,38262883.92795,85616,53025.0,both,446.9127724718511
111,WA,Grant,2009,41785210.92795,88098,53025.0,both,474.30374047027175
112,WA,Grant,2010,38636886.4463625,89120,53025.0,both,433.53777430837636
113,WA,Grant,2011,38408360.122725,90588,53025.0,both,423.98949223655455
114,WA,Grant,2012,36994979.4204375,91292,53025.0,both,405.23791154140014
115,WA,Grant,2013,34636196.3343,91698,53025.0,both,377.7203028888307
116,WA,Grant,2014,32847043.6556625,92898,53025.0,both,353.5818172152522
117,WA,Grays Harbor,2006,31005308.143725,70854,53027.0,both,437.5943227443052
118,WA,Grays Harbor,2007,35732065.9474125,71343,53027.0,both,500.8489402942475
119,WA,Grays Harbor,2008,42239833.167225,71447,53027.0,both,591.2051334167286
120,WA,Grays Harbor,2009,37392379.3699875,71797,53027.0,both,520.8069887319457
121,WA,Grays Harbor,2010,36139545.832725,72797,53027.0,both,496.4427906744097
122,WA,Grays Harbor,2011,37477071.5447625,72374,53027.0,both,517.8250690132161
123,WA,Grays Harbor,2012,37741891.4893125,71785,53027.0,both,525.7629238603121
124,WA,Grays Harbor,2013,40308961.583625,71059,53027.0,both,567.2604678313093
125,WA,Grays Harbor,2014,43356853.673175,70796,53027.0,both,612.4195388605995
126,WA,Island,2006,18187129.7060375,81109,53029.0,both,224.23072292886732
127,WA,Island,2007,18127659.54485,80860,53029.0,both,224.1857475247341
128,WA,Island,2008,17553634.3180875,80847,53029.0,both,217.12165346998032
129,WA,Island,2009,16537355.7938625,81054,53029.0,both,204.02886709924863
130,WA,Island,2010,17639589.165,78506,53029.0,both,224.69096839731995
131,WA,Island,2011,17537616.5888625,78970,53029.0,both,222.079480674465
132,WA,Island,2012,17654680.6040625,79086,53029.0,both,223.2339554922806
133,WA,Island,2013,18121214.17635,78266,53029.0,both,231.5336694905834
134,WA,Island,2014,19055567.1718125,78777,53029.0,both,241.89252157117562
135,WA,Jefferson,2006,3589464.4635,29144,53031.0,both,123.16306833310459
136,WA,Jefferson,2007,4667226.5985,29273,53031.0,both,159.43793251460392
137,WA,Jefferson,2008,5655645.465,29592,53031.0,both,191.12075780616382
138,WA,Jefferson,2009,6154809.75,29676,53031.0,both,207.4002476748888
139,WA,Jefferson,2010,6794232.48,29872,53031.0,both,227.44484734868774
140,WA,Jefferson,2011,7374590.8165875,29858,53031.0,both,246.98877408357896
141,WA,Jefferson,2012,8252576.85885,29808,53031.0,both,276.8577851197665
142,WA,Jefferson,2013,8658078.6415875,30021,53031.0,both,288.40074086764264
143,WA,Jefferson,2014,9531965.8088625,30172,53031.0,both,315.92091372340246
144,WA,King,2006,543243209.017325,1832059,53033.0,both,296.5205864097854
145,WA,King,2007,567918765.4578125,1857506,53033.0,both,305.742627726539
146,WA,King,2008,610069450.2158126,1884242,53033.0,both,323.7744675130968
147,WA,King,2009,627939381.9220124,1916441,53033.0,both,327.6591253902481
148,WA,King,2010,646956449.6017125,1931249,53033.0,both,334.9938043213032
149,WA,King,2011,640517662.3440375,1974499,53033.0,both,324.39503000206
150,WA,King,2012,611352688.0936126,2011708,53033.0,both,303.89732908235817
151,WA,King,2013,588164193.4788,2047967,53033.0,both,287.1941752375893
152,WA,King,2014,592248175.8156,2086174,53033.0,both,283.8920319281134
153,WA,Kitsap,2006,64937920.7352625,239543,53035.0,both,271.0908719322314
154,WA,Kitsap,2007,68981497.206975,238087,53035.0,both,289.73231300732505
155,WA,Kitsap,2008,76884701.01225,239865,53035.0,both,320.5332208210869
156,WA,Kitsap,2009,81171555.32655,240862,53035.0,both,337.0044063677542
157,WA,Kitsap,2010,88670300.4604125,251133,53035.0,both,353.0810385748289
158,WA,Kitsap,2011,88422142.834275,254351,53035.0,both,347.6382748024384
159,WA,Kitsap,2012,87058065.172425,254414,53035.0,both,342.19054443711826
160,WA,Kitsap,2013,79180756.5319875,252538,53035.0,both,313.53996836906725
161,WA,Kitsap,2014,76826219.08155,253568,53035.0,both,302.98073527239245
162,WA,Kittitas,2006,9093796.4048625,38057,53037.0,both,238.9520037013559
163,WA,Kittitas,2007,9211506.4425,38384,53037.0,both,239.98297317892875
164,WA,Kittitas,2008,10141651.365,39151,53037.0,both,259.03939529003094
165,WA,Kittitas,2009,9828329.0213625,39532,53037.0,both,248.61704496009563
166,WA,Kittitas,2010,10529154.2475,40915,53037.0,both,257.3421544054748
167,WA,Kittitas,2011,11841145.4438625,41561,53037.0,both,284.9100224696831
168,WA,Kittitas,2012,11998769.4675,41636,53037.0,both,288.18256959121913
169,WA,Kittitas,2013,12649938.585,41845,53037.0,both,302.3046620862708
170,WA,Kittitas,2014,12933555.3413625,42619,53037.0,both,303.4692353495507
171,WA,Klickitat,2006,1997275.6695,19864,53039.0,both,100.54750651933146
172,WA,Klickitat,2007,2517741.4875,20109,53039.0,both,125.20470871251678
173,WA,Klickitat,2008,2560843.2188625,20391,53039.0,both,125.58693633772252
174,WA,Klickitat,2009,2843889.525,20554,53039.0,both,138.36185292400506
175,WA,Klickitat,2010,2624773.95,20318,53039.0,both,129.1846613839945
176,WA,Klickitat,2011,2797973.1375,20691,53039.0,both,135.226578584892
177,WA,Klickitat,2012,3178606.215,20640,53039.0,both,154.0022390988372
178,WA,Klickitat,2013,3533738.0740875,20873,53039.0,both,169.29708590463758
179,WA,Klickitat,2014,3083829.2775,20863,53039.0,both,147.81331915352538
180,WA,Lewis,2006,28295827.6162625,72833,53041.0,both,388.50284371455933
181,WA,Lewis,2007,35427502.206375,73699,53041.0,both,480.70533123074944
182,WA,Lewis,2008,41459458.326825,74362,53041.0,both,557.5355467419515
183,WA,Lewis,2009,45848953.7512875,74741,53041.0,both,613.4377885134999
184,WA,Lewis,2010,42866022.18225,75455,53041.0,both,568.1004861473726
185,WA,Lewis,2011,40843268.2918125,75674,53041.0,both,539.7265678015236
186,WA,Lewis,2012,39861923.9397,75452,53041.0,both,528.3083806883847
187,WA,Lewis,2013,38477349.957,74994,53041.0,both,513.072378550284
188,WA,Lewis,2014,38848140.12975,74877,53041.0,both,518.8260764954525
189,WA,Lincoln,2006,3231801.495225,10204,53043.0,both,316.7190802846923
190,WA,Lincoln,2007,3954140.7675,10266,53043.0,both,385.1685921975453
191,WA,Lincoln,2008,4197673.3913625,10322,53043.0,both,406.67248511553
192,WA,Lincoln,2009,4805908.1625,10248,53043.0,both,468.96059353044495
193,WA,Lincoln,2010,4818079.5,10570,53043.0,both,455.8258751182592
194,WA,Lincoln,2011,4413150.2625,10527,53043.0,both,419.2220255058421
195,WA,Lincoln,2012,4614201.9375,10430,53043.0,both,442.39711768935763
196,WA,Lincoln,2013,5131388.925,10295,53043.0,both,498.43505828071875
197,WA,Lincoln,2014,5060025.99,10224,53043.0,both,494.9164700704226
198,WA,Mason,2006,12980432.2785,55265,53045.0,both,234.87618345245636
199,WA,Mason,2007,14779235.79,56823,53045.0,both,260.09249406050367
200,WA,Mason,2008,17268370.4265,57717,53045.0,both,299.1903672488175
201,WA,Mason,2009,19808055.7390875,58016,53045.0,both,341.4240164624845
202,WA,Mason,2010,22558235.2388625,60699,53045.0,both,371.6409700137152
203,WA,Mason,2011,24603788.362725,60882,53045.0,both,404.1225380691337
204,WA,Mason,2012,23564035.7672625,60689,53045.0,both,388.2752355000494
