County,Year,Population,State,fips,Deaths,_merge,drug_mortality_per_capita
Jackson County,2010.0,53227,AL,1071.0,627.0,both,0.011779735848347643
Jefferson County,2010.0,658466,AL,1073.0,6824.0,both,0.010363481182020028
Lamar County,2010.0,14564,AL,1075.0,199.0,both,0.013663828618511398
Lauderdale County,2010.0,92709,AL,1077.0,1076.0,both,0.011606208674454476
Lawrence County,2010.0,34339,AL,1079.0,372.0,both,0.010833163458458313
Lee County,2010.0,140247,AL,1081.0,800.0,both,0.005704221837187248
Limestone County,2010.0,82782,AL,1083.0,645.0,both,0.007791548887439298
Lowndes County,2010.0,11299,AL,1085.0,145.0,both,0.012832994070271705
Macon County,2010.0,21452,AL,1087.0,236.0,both,0.011001305239604698
Madison County,2010.0,334811,AL,1089.0,2624.0,both,0.00783725743777833
Marengo County,2010.0,21027,AL,1091.0,248.0,both,0.011794359632852998
Marion County,2010.0,30776,AL,1093.0,427.0,both,0.013874447621523265
Marshall County,2010.0,93019,AL,1095.0,1018.0,both,0.010944000688031478
Mobile County,2010.0,412992,AL,1097.0,4048.0,both,0.009801642646830932
Monroe County,2010.0,23068,AL,1099.0,285.0,both,0.012354777180509797
Montgomery County,2010.0,229363,AL,1101.0,1970.0,both,0.008589005201362033
Morgan County,2010.0,119490,AL,1103.0,1244.0,both,0.010410913047116914
Perry County,2010.0,10591,AL,1105.0,148.0,both,0.01397412897743367
Pickens County,2010.0,19746,AL,1107.0,252.0,both,0.01276207839562443
Pike County,2010.0,32899,AL,1109.0,313.0,both,0.009513966989878112
Randolph County,2010.0,22913,AL,1111.0,293.0,both,0.012787500545541832
Russell County,2010.0,52947,AL,1113.0,547.0,both,0.010331085802783916
St. Clair County,2010.0,83593,AL,1115.0,763.0,both,0.009127558527627911
Shelby County,2010.0,195085,AL,1117.0,1143.0,both,0.005858984545198247
Sumter County,2010.0,13763,AL,1119.0,149.0,both,0.010826128024413281
Talladega County,2010.0,82291,AL,1121.0,865.0,both,0.010511477561337206
Tallapoosa County,2010.0,41616,AL,1123.0,497.0,both,0.011942522106881969
Tuscaloosa County,2010.0,194656,AL,1125.0,1579.0,both,0.008111745849087621
Walker County,2010.0,67023,AL,1127.0,909.0,both,0.013562508392641332
Washington County,2010.0,17581,AL,1129.0,210.0,both,0.011944713042489051
Wilcox County,2010.0,11670,AL,1131.0,142.0,both,0.012167952013710369
Winston County,2010.0,24484,AL,1133.0,343.0,both,0.014009148831890214
Autauga County,2011.0,55229,AL,1001.0,447.0,both,0.008093574028137391
Baldwin County,2011.0,186579,AL,1003.0,1850.0,both,0.009915370968865736
Barbour County,2011.0,27344,AL,1005.0,297.0,both,0.010861614979520188
Bibb County,2011.0,22736,AL,1007.0,246.0,both,0.010819845179451091
Blount County,2011.0,57561,AL,1009.0,584.0,both,0.010145758412814232
Bullock County,2011.0,10680,AL,1011.0,114.0,both,0.010674157303370787
Butler County,2011.0,20867,AL,1013.0,273.0,both,0.013082858101308286
Calhoun County,2011.0,117767,AL,1015.0,1334.0,both,0.011327451663029542
Chambers County,2011.0,34016,AL,1017.0,437.0,both,0.01284689557855127
Cherokee County,2011.0,25993,AL,1019.0,328.0,both,0.012618781979763783
Chilton County,2011.0,43682,AL,1021.0,480.0,both,0.010988507852204569
Choctaw County,2011.0,13608,AL,1023.0,144.0,both,0.010582010582010581
Clarke County,2011.0,25589,AL,1025.0,290.0,both,0.011332994646137013
Clay County,2011.0,13687,AL,1027.0,229.0,both,0.016731204792869145
Cleburne County,2011.0,14928,AL,1029.0,157.0,both,0.010517148981779207
Coffee County,2011.0,50449,AL,1031.0,477.0,both,0.009455093262502726
Colbert County,2011.0,54545,AL,1033.0,662.0,both,0.012136767806398387
Conecuh County,2011.0,13194,AL,1035.0,179.0,both,0.013566772775504016
Coosa County,2011.0,11483,AL,1037.0,151.0,both,0.013149873726378124
Covington County,2011.0,38023,AL,1039.0,474.0,both,0.012466138915919312
Crenshaw County,2011.0,13894,AL,1041.0,161.0,both,0.01158773571325752
Cullman County,2011.0,80419,AL,1043.0,939.0,both,0.011676345142317114
Dale County,2011.0,50134,AL,1045.0,452.0,both,0.009015837555351658
Dallas County,2011.0,43254,AL,1047.0,505.0,both,0.011675220788828778
DeKalb County,2011.0,71335,AL,1049.0,733.0,both,0.01027546085371837
Elmore County,2011.0,80005,AL,1051.0,630.0,both,0.007874507843259796
Escambia County,2011.0,38211,AL,1053.0,433.0,both,0.011331815445814032
Etowah County,2011.0,104356,AL,1055.0,1359.0,both,0.013022729886158917
Fayette County,2011.0,17061,AL,1057.0,260.0,both,0.015239434968641932
Franklin County,2011.0,31776,AL,1059.0,403.0,both,0.012682527693856999
Geneva County,2011.0,26758,AL,1061.0,341.0,both,0.012743852305852456
Greene County,2011.0,8903,AL,1063.0,112.0,both,0.012580029203639223
Hale County,2011.0,15360,AL,1065.0,196.0,both,0.012760416666666666
