,State,County,Year,MME,Population,fips,_merge,Prescription Rate Per Capita
181,FL,Gulf,2010,4311716.25,15863,12045.0,both,271.8096356300826
182,FL,Gulf,2011,3866418.2025,15767,12045.0,both,245.22218573603095
183,FL,Gulf,2012,4012652.9025,15769,12045.0,both,254.46463964106792
184,FL,Gulf,2013,4059841.1625,15887,12045.0,both,255.54485821741048
185,FL,Gulf,2014,4576927.725,16011,12045.0,both,285.8614530635188
186,FL,Hamilton,2006,1804899.5505,14124,12047.0,both,127.78954619796092
187,FL,Hamilton,2007,2249353.0935,14251,12047.0,both,157.83826352536664
188,FL,Hamilton,2008,3039991.791,14412,12047.0,both,210.93476207327228
189,FL,Hamilton,2009,2305155.3525,14592,12047.0,both,157.97391395970396
190,FL,Hamilton,2010,3470682.8288625,14799,12047.0,both,234.52144258818163
191,FL,Hamilton,2011,3033594.8775,14596,12047.0,both,207.83741281858042
192,FL,Hamilton,2012,2549667.4875,14726,12047.0,both,173.14053290099142
193,FL,Hamilton,2013,2919704.175,14344,12047.0,both,203.54881309258226
194,FL,Hamilton,2014,2018258.1375,14071,12047.0,both,143.43388085423922
195,FL,Hardee,2006,3682568.105,28192,12049.0,both,130.62457807179342
196,FL,Hardee,2007,3996159.5725,28832,12049.0,both,138.60153900180353
197,FL,Hardee,2008,4647926.0445,29135,12049.0,both,159.5306691093187
198,FL,Hardee,2009,7751621.3925,29415,12049.0,both,263.52613946965835
199,FL,Hardee,2010,8867193.39,27731,12049.0,both,319.75743355811187
200,FL,Hardee,2011,9282533.205,27681,12049.0,both,335.3395182616235
201,FL,Hardee,2012,7940830.0613625,27433,12049.0,both,289.4626931565086
202,FL,Hardee,2013,6785162.160225,27307,12049.0,both,248.47702641172594
203,FL,Hardee,2014,6878260.0575,27259,12049.0,both,252.3298748119887
204,FL,Hendry,2006,16527160.2825,39106,12051.0,both,422.62466840126837
205,FL,Hendry,2007,19191329.0120875,39399,12051.0,both,487.10193182790175
206,FL,Hendry,2008,20998036.911,39602,12051.0,both,530.226678223322
207,FL,Hendry,2009,22472576.881575,39594,12051.0,both,567.5753114505985
208,FL,Hendry,2010,27617015.31,39140,12051.0,both,705.5956900868676
209,FL,Hendry,2011,26953096.2488625,38968,12051.0,both,691.6725582237349
210,FL,Hendry,2012,19653150.1875,37864,12051.0,both,519.045800430488
211,FL,Hendry,2013,15997448.5575,37802,12051.0,both,423.1905337680546
212,FL,Hendry,2014,15226436.2875,38467,12051.0,both,395.83113545376557
213,FL,Hernando,2006,78727927.57445,163551,12053.0,both,481.3662256693631
214,FL,Hernando,2007,111241430.896115,168982,12053.0,both,658.3034340705815
215,FL,Hernando,2008,197158775.3677125,171447,12053.0,both,1149.9692346189347
216,FL,Hernando,2009,245050015.9472625,171233,12053.0,both,1431.0910627464477
217,FL,Hernando,2010,331289829.9954375,172778,12053.0,both,1917.430633503325
218,FL,Hernando,2011,239292429.870675,172877,12053.0,both,1384.1773623482302
219,FL,Hernando,2012,163153660.2901875,172777,12053.0,both,944.3019631674789
220,FL,Hernando,2013,106870300.3452,173721,12053.0,both,615.1835434127134
221,FL,Hernando,2014,106691617.0340625,175411,12053.0,both,608.2378929147118
222,FL,Highlands,2006,22995715.2225,97265,12055.0,both,236.42333030894977
223,FL,Highlands,2007,24466187.28794,98512,12055.0,both,248.3574314595176
224,FL,Highlands,2008,28613962.2635,99034,12055.0,both,288.930693130642
225,FL,Highlands,2009,33721288.500675,98704,12055.0,both,341.6405464892507
226,FL,Highlands,2010,45729843.5743125,98786,12055.0,both,462.9182634615482
227,FL,Highlands,2011,54161629.2645375,98493,12055.0,both,549.903335917654
228,FL,Highlands,2012,41042597.9634,98244,12055.0,both,417.7618782154635
229,FL,Highlands,2013,41015340.09112501,98118,12055.0,both,418.02054761740976
230,FL,Highlands,2014,43899834.435,98636,12055.0,both,445.06908669248554
231,FL,Hillsborough,2006,1027723784.987175,1158212,12057.0,both,887.3365022872971
232,FL,Hillsborough,2007,1189548966.7853,1169910,12057.0,both,1016.7867329839902
233,FL,Hillsborough,2008,1507903618.6257374,1180118,12057.0,both,1277.7566468994944
234,FL,Hillsborough,2009,2124149030.8509376,1195317,12057.0,both,1777.0591657701996
235,FL,Hillsborough,2010,2801560611.0110626,1229226,12057.0,both,2279.125735227747
236,FL,Hillsborough,2011,1533314549.9512875,1255639,12057.0,both,1221.1428204693289
237,FL,Hillsborough,2012,855609666.484125,1279861,12057.0,both,668.5176487791448
238,FL,Hillsborough,2013,603016245.9751126,1304474,12057.0,both,462.267738548344
239,FL,Hillsborough,2014,571734330.190275,1332742,12057.0,both,428.9910051534918
240,FL,Holmes,2006,5115280.07,19055,12059.0,both,268.448180005248
241,FL,Holmes,2007,5388630.6392250005,19119,12059.0,both,281.84688734897225
242,FL,Holmes,2008,5350438.7895875005,19170,12059.0,both,279.104788189228
243,FL,Holmes,2009,5461291.74045,19099,12059.0,both,285.9464757552752
244,FL,Holmes,2010,5004425.7040875,19927,12059.0,both,251.13793868055907
245,FL,Holmes,2011,5188443.8663625,19841,12059.0,both,261.501127280001
246,FL,Holmes,2012,5462597.16,19704,12059.0,both,277.23290499390987
247,FL,Holmes,2013,5746814.205,19604,12059.0,both,293.14498087125077
248,FL,Holmes,2014,6324595.267725,19578,12059.0,both,323.04603471881705
249,FL,Indian River,2006,43237351.0817625,129980,12061.0,both,332.6461846573511
250,FL,Indian River,2007,51702138.7888875,132837,12061.0,both,389.21489335717837
251,FL,Indian River,2008,64186802.972625,134293,12061.0,both,477.9608987261064
252,FL,Indian River,2009,79226077.11930001,135167,12061.0,both,586.1347601063869
253,FL,Indian River,2010,111822904.7092875,138028,12061.0,both,810.1465261344619
254,FL,Indian River,2011,141158729.6086125,139122,12061.0,both,1014.6398816047247
255,FL,Indian River,2012,98923324.2856125,140515,12061.0,both,704.0054391745542
256,FL,Indian River,2013,80519769.677925,141961,12061.0,both,567.1964108306155
257,FL,Indian River,2014,80728537.488825,144532,12061.0,both,558.551306899683
258,FL,Jackson,2006,9866875.3375,48832,12063.0,both,202.057571623116
259,FL,Jackson,2007,11355734.5475,48955,12063.0,both,231.962711622919
260,FL,Jackson,2008,12130103.3215,50915,12063.0,both,238.24223355592653
261,FL,Jackson,2009,13341586.8375,50930,12063.0,both,261.95929388376203
262,FL,Jackson,2010,14859564.825,49746,12063.0,both,298.70873688336746
263,FL,Jackson,2011,16484638.485,49204,12063.0,both,335.02638982603037
264,FL,Jackson,2012,17427980.37,49111,12063.0,both,354.8691814461119
265,FL,Jackson,2013,18002403.6825,48885,12063.0,both,368.26027784596505
266,FL,Jackson,2014,19799410.62,48737,12063.0,both,406.2500896649363
267,FL,Jefferson,2006,1465484.9205,13988,12065.0,both,104.7672948598799
268,FL,Jefferson,2007,1732034.337,13854,12065.0,both,125.02052381983543
269,FL,Jefferson,2008,2123425.9035,13982,12065.0,both,151.86853837076242
270,FL,Jefferson,2009,2413278.4838625,14010,12065.0,both,172.2539959930407
271,FL,Jefferson,2010,2637125.0175,14761,12065.0,both,178.654902614999
272,FL,Jefferson,2011,2823451.935,14527,12065.0,both,194.35891340262958
273,FL,Jefferson,2012,2213915.52,14218,12065.0,both,155.71216204810804
274,FL,Jefferson,2013,2328158.7525,14212,12065.0,both,163.81640532648467
275,FL,Jefferson,2014,2249754.945,14061,12065.0,both,159.99964049498612
276,FL,Lafayette,2006,1215701.375,8013,12067.0,both,151.71613315861725
277,FL,Lafayette,2007,1355772.4875,8023,12067.0,both,168.9857269724542
278,FL,Lafayette,2008,1361092.75,8054,12067.0,both,168.99587161658803
279,FL,Lafayette,2009,1257662.175,7949,12067.0,both,158.21640143414265
280,FL,Lafayette,2010,1363409.2875,8870,12067.0,both,153.71017897406992
281,FL,Lafayette,2011,1307105.1675,8801,12067.0,both,148.51780110214747
282,FL,Lafayette,2012,1295000.2725,8791,12067.0,both,147.3097796041406
283,FL,Lafayette,2013,1526557.44,8819,12067.0,both,173.09870053294023
284,FL,Lafayette,2014,1692459.9375,8860,12067.0,both,191.02256630925507
285,FL,Lake,2006,64563419.322425,291330,12069.0,both,221.61610312163182
286,FL,Lake,2007,82180027.331575,302170,12069.0,both,271.9662022423636
287,FL,Lake,2008,103711049.2707,307964,12069.0,both,336.7635479169643
288,FL,Lake,2009,140752498.570875,312119,12069.0,both,450.95780318043757
289,FL,Lake,2010,177229262.6611125,297052,12069.0,both,596.6270641541296
