County,Year,Population,State,fips,_merge
Rock County,2008,9453,MN,27133.0,both
Roseau County,2008,15963,MN,27135.0,both
St. Louis County,2008,197166,MN,27137.0,both
Scott County,2008,129220,MN,27139.0,both
Sherburne County,2008,87240,MN,27141.0,both
Sibley County,2008,15077,MN,27143.0,both
Stearns County,2008,147773,MN,27145.0,both
Steele County,2008,36594,MN,27147.0,both
Stevens County,2008,9612,MN,27149.0,both
Swift County,2008,10961,MN,27151.0,both
Todd County,2008,23978,MN,27153.0,both
Traverse County,2008,3602,MN,27155.0,both
Wabasha County,2008,21873,MN,27157.0,both
Wadena County,2008,13327,MN,27159.0,both
Waseca County,2008,19375,MN,27161.0,both
Washington County,2008,229740,MN,27163.0,both
Watonwan County,2008,10868,MN,27165.0,both
Wilkin County,2008,6374,MN,27167.0,both
Winona County,2008,49590,MN,27169.0,both
Wright County,2008,119982,MN,27171.0,both
Yellow Medicine County,2008,9926,MN,27173.0,both
Aitkin County,2009,15646,MN,27001.0,both
Anoka County,2009,331582,MN,27003.0,both
Becker County,2009,32076,MN,27005.0,both
Beltrami County,2009,44350,MN,27007.0,both
Benton County,2009,40193,MN,27009.0,both
Big Stone County,2009,5251,MN,27011.0,both
Blue Earth County,2009,61010,MN,27013.0,both
Brown County,2009,25603,MN,27015.0,both
Carlton County,2009,34327,MN,27017.0,both
Carver County,2009,92107,MN,27019.0,both
Cass County,2009,28534,MN,27021.0,both
Chippewa County,2009,12321,MN,27023.0,both
Chisago County,2009,50625,MN,27025.0,both
Clay County,2009,56763,MN,27027.0,both
Clearwater County,2009,8242,MN,27029.0,both
Cook County,2009,5472,MN,27031.0,both
Cottonwood County,2009,11116,MN,27033.0,both
Crow Wing County,2009,62723,MN,27035.0,both
Dakota County,2009,396500,MN,27037.0,both
Dodge County,2009,19772,MN,27039.0,both
Douglas County,2009,36390,MN,27041.0,both
Faribault County,2009,14506,MN,27043.0,both
Fillmore County,2009,20838,MN,27045.0,both
Freeborn County,2009,31002,MN,27047.0,both
Goodhue County,2009,45836,MN,27049.0,both
Grant County,2009,5835,MN,27051.0,both
Hennepin County,2009,1156212,MN,27053.0,both
Houston County,2009,19244,MN,27055.0,both
Hubbard County,2009,18644,MN,27057.0,both
Isanti County,2009,39442,MN,27059.0,both
Itasca County,2009,44727,MN,27061.0,both
Jackson County,2009,10786,MN,27063.0,both
Kanabec County,2009,15899,MN,27065.0,both
Kandiyohi County,2009,41123,MN,27067.0,both
Kittson County,2009,4374,MN,27069.0,both
Koochiching County,2009,13128,MN,27071.0,both
Lac qui Parle County,2009,7110,MN,27073.0,both
Lake County,2009,10610,MN,27075.0,both
Lake of the Woods County,2009,3880,MN,27077.0,both
Le Sueur County,2009,28059,MN,27079.0,both
Lincoln County,2009,5723,MN,27081.0,both
Lyon County,2009,25074,MN,27083.0,both
McLeod County,2009,36939,MN,27085.0,both
Mahnomen County,2009,5025,MN,27087.0,both
Marshall County,2009,9184,MN,27089.0,both
Martin County,2009,20245,MN,27091.0,both
Meeker County,2009,23154,MN,27093.0,both
Mille Lacs County,2009,26383,MN,27095.0,both
Morrison County,2009,32883,MN,27097.0,both
Mower County,2009,38215,MN,27099.0,both
Murray County,2009,8416,MN,27101.0,both
Nicollet County,2009,32224,MN,27103.0,both
Nobles County,2009,20558,MN,27105.0,both
Norman County,2009,6455,MN,27107.0,both
Olmsted County,2009,143962,MN,27109.0,both
Otter Tail County,2009,56588,MN,27111.0,both
Pennington County,2009,13842,MN,27113.0,both
Pine County,2009,28368,MN,27115.0,both
Pipestone County,2009,9353,MN,27117.0,both
Polk County,2009,30776,MN,27119.0,both
Pope County,2009,10869,MN,27121.0,both
Ramsey County,2009,506278,MN,27123.0,both
Red Lake County,2009,4188,MN,27125.0,both
Redwood County,2009,15464,MN,27127.0,both
Renville County,2009,15718,MN,27129.0,both
Rice County,2009,62723,MN,27131.0,both
Rock County,2009,9483,MN,27133.0,both
Roseau County,2009,15911,MN,27135.0,both
St. Louis County,2009,197767,MN,27137.0,both
Scott County,2009,131939,MN,27139.0,both
Sherburne County,2009,87832,MN,27141.0,both
Sibley County,2009,14925,MN,27143.0,both
Stearns County,2009,148955,MN,27145.0,both
Steele County,2009,36775,MN,27147.0,both
Stevens County,2009,9629,MN,27149.0,both
Swift County,2009,10823,MN,27151.0,both
Todd County,2009,23869,MN,27153.0,both
Traverse County,2009,3573,MN,27155.0,both
Wabasha County,2009,21884,MN,27157.0,both
Wadena County,2009,13269,MN,27159.0,both
Waseca County,2009,18771,MN,27161.0,both
Washington County,2009,231958,MN,27163.0,both
Watonwan County,2009,10912,MN,27165.0,both
Wilkin County,2009,6264,MN,27167.0,both
Winona County,2009,49436,MN,27169.0,both
Wright County,2009,121907,MN,27171.0,both
Yellow Medicine County,2009,9867,MN,27173.0,both
Aitkin County,2010,16202,MN,27001.0,both
Anoka County,2010,330844,MN,27003.0,both
Becker County,2010,32504,MN,27005.0,both
Beltrami County,2010,44442,MN,27007.0,both
Benton County,2010,38451,MN,27009.0,both
Big Stone County,2010,5269,MN,27011.0,both
Blue Earth County,2010,64013,MN,27013.0,both
Brown County,2010,25893,MN,27015.0,both
Carlton County,2010,35386,MN,27017.0,both
Carver County,2010,91042,MN,27019.0,both
Cass County,2010,28567,MN,27021.0,both
Chippewa County,2010,12441,MN,27023.0,both
Chisago County,2010,53887,MN,27025.0,both
Clay County,2010,58999,MN,27027.0,both
Clearwater County,2010,8695,MN,27029.0,both
Cook County,2010,5176,MN,27031.0,both
Cottonwood County,2010,11687,MN,27033.0,both
Crow Wing County,2010,62500,MN,27035.0,both
Dakota County,2010,398552,MN,27037.0,both
Dodge County,2010,20087,MN,27039.0,both
Douglas County,2010,36009,MN,27041.0,both
Faribault County,2010,14553,MN,27043.0,both
Fillmore County,2010,20866,MN,27045.0,both
Freeborn County,2010,31255,MN,27047.0,both
Goodhue County,2010,46183,MN,27049.0,both
Grant County,2010,6018,MN,27051.0,both
Hennepin County,2010,1152425,MN,27053.0,both
Houston County,2010,19027,MN,27055.0,both
Hubbard County,2010,20428,MN,27057.0,both
Isanti County,2010,37816,MN,27059.0,both
Itasca County,2010,45058,MN,27061.0,both
Jackson County,2010,10266,MN,27063.0,both
Kanabec County,2010,16239,MN,27065.0,both
Kandiyohi County,2010,42239,MN,27067.0,both
Kittson County,2010,4552,MN,27069.0,both
Koochiching County,2010,13311,MN,27071.0,both
Lac qui Parle County,2010,7259,MN,27073.0,both
Lake County,2010,10866,MN,27075.0,both
Lake of the Woods County,2010,4045,MN,27077.0,both
Le Sueur County,2010,27703,MN,27079.0,both
Lincoln County,2010,5896,MN,27081.0,both
Lyon County,2010,25857,MN,27083.0,both
McLeod County,2010,36651,MN,27085.0,both
Mahnomen County,2010,5413,MN,27087.0,both
Marshall County,2010,9439,MN,27089.0,both
Martin County,2010,20840,MN,27091.0,both
Meeker County,2010,23300,MN,27093.0,both
Mille Lacs County,2010,26097,MN,27095.0,both
Morrison County,2010,33198,MN,27097.0,both
Mower County,2010,39163,MN,27099.0,both
Murray County,2010,8725,MN,27101.0,both
Nicollet County,2010,32727,MN,27103.0,both
Nobles County,2010,21378,MN,27105.0,both
Norman County,2010,6852,MN,27107.0,both
Olmsted County,2010,144248,MN,27109.0,both
Otter Tail County,2010,57303,MN,27111.0,both
Pennington County,2010,13930,MN,27113.0,both
Pine County,2010,29750,MN,27115.0,both
Pipestone County,2010,9596,MN,27117.0,both
Polk County,2010,31600,MN,27119.0,both
Pope County,2010,10995,MN,27121.0,both
Ramsey County,2010,508640,MN,27123.0,both
Red Lake County,2010,4089,MN,27125.0,both
Redwood County,2010,16059,MN,27127.0,both
Renville County,2010,15730,MN,27129.0,both
Rice County,2010,64142,MN,27131.0,both
Rock County,2010,9687,MN,27133.0,both
Roseau County,2010,15629,MN,27135.0,both
St. Louis County,2010,200226,MN,27137.0,both
Scott County,2010,129928,MN,27139.0,both
Sherburne County,2010,88499,MN,27141.0,both
Sibley County,2010,15226,MN,27143.0,both
Stearns County,2010,150642,MN,27145.0,both
Steele County,2010,36576,MN,27147.0,both
Stevens County,2010,9726,MN,27149.0,both
Swift County,2010,9783,MN,27151.0,both
Todd County,2010,24895,MN,27153.0,both
Traverse County,2010,3558,MN,27155.0,both
Wabasha County,2010,21676,MN,27157.0,both
Wadena County,2010,13843,MN,27159.0,both
Waseca County,2010,19136,MN,27161.0,both
Washington County,2010,238136,MN,27163.0,both
Watonwan County,2010,11211,MN,27165.0,both
Wilkin County,2010,6576,MN,27167.0,both
Winona County,2010,51461,MN,27169.0,both
Wright County,2010,124700,MN,27171.0,both
Yellow Medicine County,2010,10438,MN,27173.0,both
Aitkin County,2011,16170,MN,27001.0,both
Anoka County,2011,332921,MN,27003.0,both
Becker County,2011,32766,MN,27005.0,both
Beltrami County,2011,45057,MN,27007.0,both
Benton County,2011,38738,MN,27009.0,both
Big Stone County,2011,5206,MN,27011.0,both
Blue Earth County,2011,64364,MN,27013.0,both
Brown County,2011,25660,MN,27015.0,both
Carlton County,2011,35436,MN,27017.0,both
Carver County,2011,92752,MN,27019.0,both
Cass County,2011,28383,MN,27021.0,both
Chippewa County,2011,12308,MN,27023.0,both
Chisago County,2011,53762,MN,27025.0,both
Clay County,2011,59937,MN,27027.0,both
Clearwater County,2011,8723,MN,27029.0,both
Cook County,2011,5210,MN,27031.0,both
Cottonwood County,2011,11716,MN,27033.0,both
Crow Wing County,2011,62679,MN,27035.0,both
Dakota County,2011,401804,MN,27037.0,both
Dodge County,2011,20204,MN,27039.0,both
Douglas County,2011,36185,MN,27041.0,both
Faribault County,2011,14460,MN,27043.0,both
Fillmore County,2011,20836,MN,27045.0,both
Freeborn County,2011,31070,MN,27047.0,both
Goodhue County,2011,46122,MN,27049.0,both
Grant County,2011,5991,MN,27051.0,both
Hennepin County,2011,1169581,MN,27053.0,both
Houston County,2011,18877,MN,27055.0,both
Hubbard County,2011,20516,MN,27057.0,both
Isanti County,2011,38200,MN,27059.0,both
Itasca County,2011,45103,MN,27061.0,both
Jackson County,2011,10198,MN,27063.0,both
Kanabec County,2011,16227,MN,27065.0,both
Kandiyohi County,2011,42205,MN,27067.0,both
Kittson County,2011,4540,MN,27069.0,both
Koochiching County,2011,13238,MN,27071.0,both
Lac qui Parle County,2011,7221,MN,27073.0,both
Lake County,2011,10779,MN,27075.0,both
Lake of the Woods County,2011,4011,MN,27077.0,both
Le Sueur County,2011,27786,MN,27079.0,both
Lincoln County,2011,5808,MN,27081.0,both
Lyon County,2011,25834,MN,27083.0,both
McLeod County,2011,36345,MN,27085.0,both
Mahnomen County,2011,5473,MN,27087.0,both
Marshall County,2011,9458,MN,27089.0,both
Martin County,2011,20627,MN,27091.0,both
Meeker County,2011,23198,MN,27093.0,both
Mille Lacs County,2011,25842,MN,27095.0,both
Morrison County,2011,33259,MN,27097.0,both
Mower County,2011,39349,MN,27099.0,both
Murray County,2011,8631,MN,27101.0,both
Nicollet County,2011,32971,MN,27103.0,both
Nobles County,2011,21617,MN,27105.0,both
Norman County,2011,6806,MN,27107.0,both
Olmsted County,2011,145849,MN,27109.0,both
Otter Tail County,2011,57283,MN,27111.0,both
Pennington County,2011,14075,MN,27113.0,both
Pine County,2011,29621,MN,27115.0,both
Pipestone County,2011,9528,MN,27117.0,both
Polk County,2011,31545,MN,27119.0,both
Pope County,2011,10906,MN,27121.0,both
Ramsey County,2011,515856,MN,27123.0,both
Red Lake County,2011,4083,MN,27125.0,both
Redwood County,2011,16028,MN,27127.0,both
Renville County,2011,15429,MN,27129.0,both
Rice County,2011,64458,MN,27131.0,both
Rock County,2011,9601,MN,27133.0,both
Roseau County,2011,15517,MN,27135.0,both
St. Louis County,2011,200437,MN,27137.0,both
Scott County,2011,132581,MN,27139.0,both
Sherburne County,2011,89279,MN,27141.0,both
Sibley County,2011,15167,MN,27143.0,both
Stearns County,2011,151372,MN,27145.0,both
Steele County,2011,36576,MN,27147.0,both
Stevens County,2011,9707,MN,27149.0,both
Swift County,2011,9681,MN,27151.0,both
Todd County,2011,24882,MN,27153.0,both
Traverse County,2011,3490,MN,27155.0,both
Wabasha County,2011,21609,MN,27157.0,both
Wadena County,2011,13650,MN,27159.0,both
Waseca County,2011,19186,MN,27161.0,both
Washington County,2011,241428,MN,27163.0,both
Watonwan County,2011,11168,MN,27165.0,both
Wilkin County,2011,6577,MN,27167.0,both
Winona County,2011,51359,MN,27169.0,both
Wright County,2011,126239,MN,27171.0,both
Yellow Medicine County,2011,10293,MN,27173.0,both
Aitkin County,2012,16038,MN,27001.0,both
Anoka County,2012,336119,MN,27003.0,both
Becker County,2012,32995,MN,27005.0,both
Beltrami County,2012,45160,MN,27007.0,both
Benton County,2012,38678,MN,27009.0,both
Big Stone County,2012,5134,MN,27011.0,both
Blue Earth County,2012,64979,MN,27013.0,both
Brown County,2012,25413,MN,27015.0,both
Carlton County,2012,35264,MN,27017.0,both
Carver County,2012,93804,MN,27019.0,both
Cass County,2012,28412,MN,27021.0,both
Chippewa County,2012,12112,MN,27023.0,both
Chisago County,2012,53468,MN,27025.0,both
Clay County,2012,60229,MN,27027.0,both
Clearwater County,2012,8679,MN,27029.0,both
Cook County,2012,5181,MN,27031.0,both
Cottonwood County,2012,11578,MN,27033.0,both
Crow Wing County,2012,62813,MN,27035.0,both
Dakota County,2012,404669,MN,27037.0,both
Dodge County,2012,20273,MN,27039.0,both
Douglas County,2012,36297,MN,27041.0,both
Faribault County,2012,14174,MN,27043.0,both
Fillmore County,2012,20833,MN,27045.0,both
Freeborn County,2012,31026,MN,27047.0,both
Goodhue County,2012,46167,MN,27049.0,both
Grant County,2012,5925,MN,27051.0,both
Hennepin County,2012,1184545,MN,27053.0,both
Houston County,2012,18766,MN,27055.0,both
Hubbard County,2012,20453,MN,27057.0,both
Isanti County,2012,38150,MN,27059.0,both
Itasca County,2012,45150,MN,27061.0,both
Jackson County,2012,10311,MN,27063.0,both
Kanabec County,2012,15977,MN,27065.0,both
Kandiyohi County,2012,42380,MN,27067.0,both
Kittson County,2012,4497,MN,27069.0,both
Koochiching County,2012,13166,MN,27071.0,both
Lac qui Parle County,2012,7123,MN,27073.0,both
Lake County,2012,10792,MN,27075.0,both
Lake of the Woods County,2012,3947,MN,27077.0,both
Le Sueur County,2012,27666,MN,27079.0,both
Lincoln County,2012,5755,MN,27081.0,both
Lyon County,2012,25639,MN,27083.0,both
McLeod County,2012,35933,MN,27085.0,both
Mahnomen County,2012,5503,MN,27087.0,both
Marshall County,2012,9471,MN,27089.0,both
Martin County,2012,20461,MN,27091.0,both
Meeker County,2012,23041,MN,27093.0,both
Mille Lacs County,2012,25629,MN,27095.0,both
Morrison County,2012,33101,MN,27097.0,both
Mower County,2012,39397,MN,27099.0,both
Murray County,2012,8573,MN,27101.0,both
Nicollet County,2012,33030,MN,27103.0,both
Nobles County,2012,21736,MN,27105.0,both
Norman County,2012,6602,MN,27107.0,both
Olmsted County,2012,146944,MN,27109.0,both
Otter Tail County,2012,57227,MN,27111.0,both
Pennington County,2012,14130,MN,27113.0,both
Pine County,2012,29197,MN,27115.0,both
Pipestone County,2012,9398,MN,27117.0,both
Polk County,2012,31524,MN,27119.0,both
Pope County,2012,10886,MN,27121.0,both
Ramsey County,2012,521091,MN,27123.0,both
Red Lake County,2012,4058,MN,27125.0,both
Redwood County,2012,15820,MN,27127.0,both
Renville County,2012,15283,MN,27129.0,both
Rice County,2012,64438,MN,27131.0,both
Rock County,2012,9483,MN,27133.0,both
Roseau County,2012,15512,MN,27135.0,both
St. Louis County,2012,200397,MN,27137.0,both
Scott County,2012,135140,MN,27139.0,both
Sherburne County,2012,89474,MN,27141.0,both
Sibley County,2012,15082,MN,27143.0,both
Stearns County,2012,151919,MN,27145.0,both
Steele County,2012,36324,MN,27147.0,both
Stevens County,2012,9734,MN,27149.0,both
Swift County,2012,9637,MN,27151.0,both
Todd County,2012,24641,MN,27153.0,both
Traverse County,2012,3405,MN,27155.0,both
Wabasha County,2012,21542,MN,27157.0,both
Wadena County,2012,13606,MN,27159.0,both
Waseca County,2012,19177,MN,27161.0,both
Washington County,2012,243720,MN,27163.0,both
Watonwan County,2012,11114,MN,27165.0,both
Wilkin County,2012,6594,MN,27167.0,both
Winona County,2012,51353,MN,27169.0,both
Wright County,2012,127273,MN,27171.0,both
Yellow Medicine County,2012,10163,MN,27173.0,both
Aitkin County,2013,15874,MN,27001.0,both
Anoka County,2013,339120,MN,27003.0,both
Becker County,2013,33189,MN,27005.0,both
Beltrami County,2013,45505,MN,27007.0,both
Benton County,2013,38985,MN,27009.0,both
Big Stone County,2013,5069,MN,27011.0,both
Blue Earth County,2013,64749,MN,27013.0,both
Brown County,2013,25267,MN,27015.0,both
Carlton County,2013,35265,MN,27017.0,both
Carver County,2013,95562,MN,27019.0,both
Cass County,2013,28488,MN,27021.0,both
Chippewa County,2013,12060,MN,27023.0,both
Chisago County,2013,53665,MN,27025.0,both
Clay County,2013,60567,MN,27027.0,both
Clearwater County,2013,8784,MN,27029.0,both
Cook County,2013,5188,MN,27031.0,both
Cottonwood County,2013,11558,MN,27033.0,both
Crow Wing County,2013,63008,MN,27035.0,both
Dakota County,2013,407974,MN,27037.0,both
Dodge County,2013,20341,MN,27039.0,both
Douglas County,2013,36350,MN,27041.0,both
Faribault County,2013,14098,MN,27043.0,both
Fillmore County,2013,20753,MN,27045.0,both
Freeborn County,2013,30924,MN,27047.0,both
Goodhue County,2013,46135,MN,27049.0,both
Grant County,2013,5953,MN,27051.0,both
Hennepin County,2013,1198531,MN,27053.0,both
Houston County,2013,18780,MN,27055.0,both
Hubbard County,2013,20694,MN,27057.0,both
Isanti County,2013,38066,MN,27059.0,both
Itasca County,2013,45334,MN,27061.0,both
Jackson County,2013,10284,MN,27063.0,both
Kanabec County,2013,16015,MN,27065.0,both
Kandiyohi County,2013,42463,MN,27067.0,both
Kittson County,2013,4498,MN,27069.0,both
Koochiching County,2013,13091,MN,27071.0,both
Lac qui Parle County,2013,7006,MN,27073.0,both
Lake County,2013,10706,MN,27075.0,both
Lake of the Woods County,2013,3911,MN,27077.0,both
Le Sueur County,2013,27710,MN,27079.0,both
Lincoln County,2013,5755,MN,27081.0,both
Lyon County,2013,25727,MN,27083.0,both
McLeod County,2013,35896,MN,27085.0,both
Mahnomen County,2013,5468,MN,27087.0,both
Marshall County,2013,9429,MN,27089.0,both
Martin County,2013,20424,MN,27091.0,both
Meeker County,2013,23091,MN,27093.0,both
Mille Lacs County,2013,25651,MN,27095.0,both
Morrison County,2013,32862,MN,27097.0,both
Mower County,2013,39328,MN,27099.0,both
Murray County,2013,8509,MN,27101.0,both
Nicollet County,2013,32996,MN,27103.0,both
Nobles County,2013,21799,MN,27105.0,both
Norman County,2013,6598,MN,27107.0,both
Olmsted County,2013,148911,MN,27109.0,both
Otter Tail County,2013,57503,MN,27111.0,both
Pennington County,2013,14155,MN,27113.0,both
Pine County,2013,29077,MN,27115.0,both
Pipestone County,2013,9306,MN,27117.0,both
Polk County,2013,31652,MN,27119.0,both
Pope County,2013,10876,MN,27121.0,both
Ramsey County,2013,527261,MN,27123.0,both
Red Lake County,2013,4029,MN,27125.0,both
Redwood County,2013,15687,MN,27127.0,both
Renville County,2013,15070,MN,27129.0,both
Rice County,2013,64645,MN,27131.0,both
Rock County,2013,9430,MN,27133.0,both
Roseau County,2013,15497,MN,27135.0,both
St. Louis County,2013,200503,MN,27137.0,both
Scott County,2013,137280,MN,27139.0,both
Sherburne County,2013,90086,MN,27141.0,both
Sibley County,2013,15057,MN,27143.0,both
Stearns County,2013,152612,MN,27145.0,both
Steele County,2013,36379,MN,27147.0,both
Stevens County,2013,9753,MN,27149.0,both
Swift County,2013,9557,MN,27151.0,both
Todd County,2013,24476,MN,27153.0,both
Traverse County,2013,3403,MN,27155.0,both
Wabasha County,2013,21567,MN,27157.0,both
Wadena County,2013,13637,MN,27159.0,both
Waseca County,2013,19040,MN,27161.0,both
Washington County,2013,246002,MN,27163.0,both
Watonwan County,2013,11046,MN,27165.0,both
Wilkin County,2013,6499,MN,27167.0,both
Winona County,2013,51349,MN,27169.0,both
Wright County,2013,128235,MN,27171.0,both
Yellow Medicine County,2013,10089,MN,27173.0,both
Aitkin County,2014,15852,MN,27001.0,both
Anoka County,2014,341923,MN,27003.0,both
Becker County,2014,33267,MN,27005.0,both
Beltrami County,2014,45655,MN,27007.0,both
Benton County,2014,39147,MN,27009.0,both
Big Stone County,2014,5086,MN,27011.0,both
Blue Earth County,2014,65320,MN,27013.0,both
Brown County,2014,25274,MN,27015.0,both
Carlton County,2014,35357,MN,27017.0,both
Carver County,2014,97321,MN,27019.0,both
Cass County,2014,28559,MN,27021.0,both
Chippewa County,2014,12041,MN,27023.0,both
Chisago County,2014,53808,MN,27025.0,both
Clay County,2014,61297,MN,27027.0,both
Clearwater County,2014,8787,MN,27029.0,both
Cook County,2014,5246,MN,27031.0,both
Cottonwood County,2014,11513,MN,27033.0,both
Crow Wing County,2014,63121,MN,27035.0,both
Dakota County,2014,411821,MN,27037.0,both
Dodge County,2014,20390,MN,27039.0,both
Douglas County,2014,36579,MN,27041.0,both
Faribault County,2014,14102,MN,27043.0,both
Fillmore County,2014,20769,MN,27045.0,both
Freeborn County,2014,30742,MN,27047.0,both
Goodhue County,2014,46046,MN,27049.0,both
Grant County,2014,5920,MN,27051.0,both
Hennepin County,2014,1211635,MN,27053.0,both
Houston County,2014,18707,MN,27055.0,both
Hubbard County,2014,20631,MN,27057.0,both
Isanti County,2014,38273,MN,27059.0,both
Itasca County,2014,45327,MN,27061.0,both
Jackson County,2014,10274,MN,27063.0,both
Kanabec County,2014,15978,MN,27065.0,both
Kandiyohi County,2014,42502,MN,27067.0,both
Kittson County,2014,4455,MN,27069.0,both
Koochiching County,2014,12849,MN,27071.0,both
Lac qui Parle County,2014,6901,MN,27073.0,both
Lake County,2014,10602,MN,27075.0,both
Lake of the Woods County,2014,3891,MN,27077.0,both
Le Sueur County,2014,27819,MN,27079.0,both
Lincoln County,2014,5764,MN,27081.0,both
Lyon County,2014,25779,MN,27083.0,both
McLeod County,2014,35772,MN,27085.0,both
Mahnomen County,2014,5496,MN,27087.0,both
Marshall County,2014,9419,MN,27089.0,both
Martin County,2014,20247,MN,27091.0,both
Meeker County,2014,23129,MN,27093.0,both
Mille Lacs County,2014,25553,MN,27095.0,both
Morrison County,2014,32811,MN,27097.0,both
Mower County,2014,39415,MN,27099.0,both
Murray County,2014,8437,MN,27101.0,both
Nicollet County,2014,33392,MN,27103.0,both
Nobles County,2014,21701,MN,27105.0,both
Norman County,2014,6583,MN,27107.0,both
Olmsted County,2014,150127,MN,27109.0,both
Otter Tail County,2014,57496,MN,27111.0,both
Pennington County,2014,14129,MN,27113.0,both
Pine County,2014,29082,MN,27115.0,both
Pipestone County,2014,9327,MN,27117.0,both
Polk County,2014,31511,MN,27119.0,both
Pope County,2014,10922,MN,27121.0,both
Ramsey County,2014,532966,MN,27123.0,both
Red Lake County,2014,3993,MN,27125.0,both
Redwood County,2014,15532,MN,27127.0,both
Renville County,2014,14933,MN,27129.0,both
Rice County,2014,65002,MN,27131.0,both
Rock County,2014,9386,MN,27133.0,both
Roseau County,2014,15676,MN,27135.0,both
St. Louis County,2014,200720,MN,27137.0,both
Scott County,2014,139198,MN,27139.0,both
Sherburne County,2014,90908,MN,27141.0,both
Sibley County,2014,14933,MN,27143.0,both
Stearns County,2014,154025,MN,27145.0,both
Steele County,2014,36505,MN,27147.0,both
Stevens County,2014,9862,MN,27149.0,both
Swift County,2014,9490,MN,27151.0,both
Todd County,2014,24339,MN,27153.0,both
Traverse County,2014,3382,MN,27155.0,both
Wabasha County,2014,21464,MN,27157.0,both
Wadena County,2014,13587,MN,27159.0,both
Waseca County,2014,18935,MN,27161.0,both
Washington County,2014,248580,MN,27163.0,both
Watonwan County,2014,10978,MN,27165.0,both
Wilkin County,2014,6470,MN,27167.0,both
Winona County,2014,51085,MN,27169.0,both
Wright County,2014,129845,MN,27171.0,both
Yellow Medicine County,2014,9992,MN,27173.0,both
Aitkin County,2015,15857,MN,27001.0,both
Anoka County,2015,344244,MN,27003.0,both
Becker County,2015,33455,MN,27005.0,both
Beltrami County,2015,45629,MN,27007.0,both
Benton County,2015,39433,MN,27009.0,both
Big Stone County,2015,4993,MN,27011.0,both
Blue Earth County,2015,65701,MN,27013.0,both
Brown County,2015,25246,MN,27015.0,both
Carlton County,2015,35400,MN,27017.0,both
Carver County,2015,98610,MN,27019.0,both
Cass County,2015,28704,MN,27021.0,both
Chippewa County,2015,12069,MN,27023.0,both
Chisago County,2015,54144,MN,27025.0,both
Clay County,2015,62235,MN,27027.0,both
Clearwater County,2015,8794,MN,27029.0,both
Cook County,2015,5249,MN,27031.0,both
Cottonwood County,2015,11431,MN,27033.0,both
Crow Wing County,2015,63255,MN,27035.0,both
Dakota County,2015,414245,MN,27037.0,both
Dodge County,2015,20417,MN,27039.0,both
Douglas County,2015,36796,MN,27041.0,both
Faribault County,2015,13977,MN,27043.0,both
Fillmore County,2015,20737,MN,27045.0,both
Freeborn County,2015,30519,MN,27047.0,both
Goodhue County,2015,46092,MN,27049.0,both
Grant County,2015,5865,MN,27051.0,both
Hennepin County,2015,1222868,MN,27053.0,both
Houston County,2015,18695,MN,27055.0,both
Hubbard County,2015,20645,MN,27057.0,both
Isanti County,2015,38281,MN,27059.0,both
Itasca County,2015,45269,MN,27061.0,both
Jackson County,2015,10098,MN,27063.0,both
Kanabec County,2015,15895,MN,27065.0,both
Kandiyohi County,2015,42638,MN,27067.0,both
Kittson County,2015,4410,MN,27069.0,both
Koochiching County,2015,12798,MN,27071.0,both
Lac qui Parle County,2015,6876,MN,27073.0,both
Lake County,2015,10540,MN,27075.0,both
Lake of the Woods County,2015,3870,MN,27077.0,both
Le Sueur County,2015,27762,MN,27079.0,both
Lincoln County,2015,5707,MN,27081.0,both
Lyon County,2015,25830,MN,27083.0,both
McLeod County,2015,35808,MN,27085.0,both
Mahnomen County,2015,5428,MN,27087.0,both
Marshall County,2015,9410,MN,27089.0,both
Martin County,2015,20041,MN,27091.0,both
Meeker County,2015,23048,MN,27093.0,both
Mille Lacs County,2015,25482,MN,27095.0,both
Morrison County,2015,32770,MN,27097.0,both
Mower County,2015,39497,MN,27099.0,both
Murray County,2015,8395,MN,27101.0,both
Nicollet County,2015,33545,MN,27103.0,both
Nobles County,2015,21754,MN,27105.0,both
Norman County,2015,6623,MN,27107.0,both
Olmsted County,2015,151492,MN,27109.0,both
Otter Tail County,2015,57539,MN,27111.0,both
Pennington County,2015,14258,MN,27113.0,both
Pine County,2015,29051,MN,27115.0,both
Pipestone County,2015,9302,MN,27117.0,both
Polk County,2015,31519,MN,27119.0,both
Pope County,2015,10930,MN,27121.0,both
Ramsey County,2015,536838,MN,27123.0,both
Red Lake County,2015,4027,MN,27125.0,both
Redwood County,2015,15427,MN,27127.0,both
Renville County,2015,14797,MN,27129.0,both
Rice County,2015,65336,MN,27131.0,both
Rock County,2015,9456,MN,27133.0,both
Roseau County,2015,15619,MN,27135.0,both
St. Louis County,2015,200383,MN,27137.0,both
Scott County,2015,141372,MN,27139.0,both
Sherburne County,2015,91441,MN,27141.0,both
Sibley County,2015,14893,MN,27143.0,both
Stearns County,2015,156068,MN,27145.0,both
Steele County,2015,36628,MN,27147.0,both
Stevens County,2015,9886,MN,27149.0,both
Swift County,2015,9379,MN,27151.0,both
Todd County,2015,24318,MN,27153.0,both
Traverse County,2015,3376,MN,27155.0,both
Wabasha County,2015,21392,MN,27157.0,both
Wadena County,2015,13664,MN,27159.0,both
Waseca County,2015,18932,MN,27161.0,both
Washington County,2015,250482,MN,27163.0,both
Watonwan County,2015,11013,MN,27165.0,both
Wilkin County,2015,6369,MN,27167.0,both
